missing_source_id;country_or_system;expected_source_title_or_type;why_needed;possible_institution_to_search;suggested_search_query;priority_level;expected_target_folder;notes
MISS-MX-01;mexico;Ley General de Instituciones y Procedimientos Electorales (LGIPE) — texto consolidado vigente;Ley electoral central. Sin ella no es posible mapear activation_requirements para vote | be_voted | candidaturas independientes | registro de partidos. Ningún archivo de ningún tipo existe en el corpus;Cámara de Diputados — www.diputados.gob.mx/LeyesBiblio;LGIPE ley electoral Mexico texto consolidado;P1;/Users/adelasantos/Documents/normtrace-politicalrights/01_sources/mexico/md/;Descargar desde https://www.diputados.gob.mx/LeyesBiblio/pdf/LGIPE.pdf — Verificar versión post-Plan B (reforma 2022 declarada inconstitucional por SCJN en 2023)
MISS-MX-02;mexico;Ley Federal de Consulta Popular — texto consolidado vigente;Sin esta ley no es posible identificar umbrales (2% padrón) | procedimientos de activación | rol INE | revisión SCJN para el mecanismo de consulta popular del Art. 35 fracc. VIII CPEUM;Cámara de Diputados;Ley Federal Consulta Popular Mexico texto vigente;P1;/Users/adelasantos/Documents/normtrace-politicalrights/01_sources/mexico/md/;Descargar desde https://www.diputados.gob.mx/LeyesBiblio/pdf/LCPo.pdf
MISS-MX-03;mexico;Ley Federal de Revocación de Mandato del Presidente (LFRMPE) — texto consolidado vigente;Sin esta ley no es posible mapear el mecanismo de revocación de mandato (Art. 35 fracc. IX CPEUM — reforma 2019). Mecanismo ejercido en abril 2022;Cámara de Diputados;Ley Federal Revocacion Mandato Mexico 2021;P1;/Users/adelasantos/Documents/normtrace-politicalrights/01_sources/mexico/md/;Descargar desde https://www.diputados.gob.mx/LeyesBiblio/pdf/LFRMPE.pdf
MISS-MX-04;mexico;Ley General de Partidos Políticos (LGPP) — texto consolidado vigente;Sin esta ley no es posible mapear registro de partidos | financiamiento | paridad | requisitos de candidatura como mecanismos de acceso a la participación política;Cámara de Diputados;LGPP Ley General Partidos Politicos Mexico vigente;P1;/Users/adelasantos/Documents/normtrace-politicalrights/01_sources/mexico/md/;Descargar desde https://www.diputados.gob.mx/LeyesBiblio/pdf/LGPP.pdf — Verificar versión post-Plan B
MISS-MX-05;mexico;Ley General del Sistema de Medios de Impugnación en Materia Electoral (LGSMIME);Sin esta ley no es posible mapear remedios electorales ni el JDC (juicio para protección de derechos político-electorales) — remedio individual primario para violaciones de derechos políticos;Cámara de Diputados;LGSMIME Ley medios impugnacion materia electoral Mexico;P1;/Users/adelasantos/Documents/normtrace-politicalrights/01_sources/mexico/md/;Descargar desde https://www.diputados.gob.mx/LeyesBiblio/pdf/LGSMIME.pdf
MISS-MX-06;mexico;TEPJF — Compilación temática de jurisprudencia y tesis sobre derechos político-electorales;Sin jurisprudencia del TEPJF no es posible construir la capa jurisprudencial mexicana en activation_standards ni identificar estándares judiciales sobre activación de mecanismos y proporcionalidad de restricciones;TEPJF — https://www.te.gob.mx/jurisprudencia/;TEPJF jurisprudencia derechos politico electorales tesis vinculante;P1;/Users/adelasantos/Documents/normtrace-politicalrights/01_sources/mexico/md/;Base de datos dinámica. Buscar por materia: candidaturas independientes | consulta popular | revocación | paridad | JDC | proporcionalidad
MISS-MX-07;mexico;INE — Lineamientos o acuerdos sobre procedimiento de consulta popular (proceso 2021);Sin los lineamientos del INE no es posible identificar el procedimiento operativo de activación de la consulta popular (recolección de firmas | verificación | admisibilidad). La ley delega este detalle al INE;INE — https://repositoriodocumental.ine.mx/ y DOF;INE acuerdo lineamientos consulta popular 2021 CG572;P1;/Users/adelasantos/Documents/normtrace-politicalrights/01_sources/mexico/md/;Buscar acuerdo INE/CG572/2021 en repositorio documental del INE
MISS-MX-08;mexico;INE — Lineamientos o acuerdos sobre procedimiento de revocación de mandato (proceso 2022);Sin los lineamientos del INE no es posible identificar el procedimiento operativo de activación de la revocación de mandato;INE — https://repositoriodocumental.ine.mx/;INE acuerdo revocacion mandato 2022 CG309;P1;/Users/adelasantos/Documents/normtrace-politicalrights/01_sources/mexico/md/;Buscar acuerdo INE/CG309/2022 en repositorio documental del INE
MISS-MX-09;mexico;INE — Lineamientos para registro de candidaturas independientes (vigentes);Sin estos lineamientos no es posible identificar los requisitos de activación del mecanismo de candidatura independiente a nivel infra-legal;INE — https://repositoriodocumental.ine.mx/;INE lineamientos candidaturas independientes apoyo ciudadano 2024;P1;/Users/adelasantos/Documents/normtrace-politicalrights/01_sources/mexico/md/;Identificar acuerdo vigente del CG del INE sobre lineamientos de candidaturas independientes. Puede existir versión 2023 o 2024.
MISS-MX-10;mexico;Reglamento del Senado de la República — texto vigente;Sin el reglamento del Senado no es posible completar el mapeo del procedimiento de iniciativa ciudadana en segunda cámara. La LOCGEUM solo cubre principios generales;Senado de la República — https://www.senado.gob.mx/65/reglamento;Reglamento Senado Republica Mexico texto vigente;P2;/Users/adelasantos/Documents/normtrace-politicalrights/01_sources/mexico/md/;Descargar desde el sitio oficial del Senado
MISS-MX-11;mexico;Identificación del documento H_219.pdf existente en 01_sources/mexico/pdf/;PDF existe en el corpus pero no ha sido identificado. Puede ser un decreto de reforma | ley específica | o documento legislativo relevante o no relevante para derechos políticos. Decisión de conversión depende de identificación;N/A — PDF ya presente en repositorio;Leer H_219.pdf y determinar título | fecha | autoridad emisora;P2;/Users/adelasantos/Documents/normtrace-politicalrights/01_sources/mexico/md/;El archivo H_219.pdf ya está en 01_sources/mexico/pdf/. Abrir y leer para identificar. Si es decreto de reforma: marcar como partial_reform_source.
MISS-MX-12;mexico;SCJN — Compilación de tesis jurisprudenciales sobre Art. 35 CPEUM y derechos político-electorales post-2023;Sin jurisprudencia de la SCJN no es posible cubrir la capa constitucional de la jurisprudencia mexicana sobre derechos políticos incluyendo post-Plan B;SCJN — https://sjf2.scjn.gob.mx/;SCJN tesis jurisprudencia articulo 35 CPEUM derechos politicos paridad;P2;/Users/adelasantos/Documents/normtrace-politicalrights/01_sources/mexico/md/;Buscar en SJF2 por Art. 35 | Art. 41 | paridad de género en contexto electoral
MISS-CR-01;costa_rica;Constitución Política de Costa Rica (1949 — texto consolidado vigente con reformas);Toda la arquitectura de derechos políticos en Costa Rica emana de la Constitución. Sin este texto no hay base para ningún análisis;TSE — https://www.tse.go.cr/pdf/normativa/constitucion.pdf;Constitución Política Costa Rica texto vigente consolidado;P1;/Users/adelasantos/Documents/normtrace-politicalrights/01_sources/costa_rica/md/;Descargar desde TSE. Verificar última reforma. El corpus de Costa Rica está completamente vacío.
MISS-CR-02;costa_rica;Código Electoral (Ley 8765 — 2009 — texto consolidado vigente);La ley electoral central de Costa Rica. Sin ella no hay base para ningún análisis de activación de mecanismos electorales en Costa Rica;TSE — https://www.tse.go.cr/pdf/normativa/codigoelectoral.pdf;Código Electoral Costa Rica 8765 texto vigente;P1;/Users/adelasantos/Documents/normtrace-politicalrights/01_sources/costa_rica/md/;Descargar desde TSE. Todo el corpus de Costa Rica está vacío.
MISS-CR-03;costa_rica;Ley sobre Regulación del Referéndum (Ley 8492 — 2006 — texto consolidado);Sin esta ley no es posible mapear el mecanismo de referéndum en Costa Rica (Art. 105 Constitución). Primer uso en 2007 (CAFTA);SCIJ — PGR — http://www.pgrweb.go.cr/scij/;Ley 8492 referéndum Costa Rica texto vigente;P1;/Users/adelasantos/Documents/normtrace-politicalrights/01_sources/costa_rica/md/;Descargar desde SCIJ (Sistema Costarricense de Información Jurídica)
MISS-CR-04;costa_rica;Ley de Iniciativa Popular (Ley 8491 — 2006 — texto consolidado);Sin esta ley no es posible mapear el mecanismo de iniciativa popular en Costa Rica;SCIJ — PGR;Ley 8491 iniciativa popular Costa Rica texto vigente;P1;/Users/adelasantos/Documents/normtrace-politicalrights/01_sources/costa_rica/md/;Descargar desde SCIJ
